"U.S. Emissions, Agricultural Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Crop cultivation",313.55025379962564,303.8495488425779,303.04680425608956,316.61548021869794,314.01351151840635,313.96035581368324,321.43106448231043,312.2768247003759,318.661008601024,314.6628962371734,309.2337376148156,316.9813861475178,319.5630080157741,318.51520595477456,327.0945189885414,320.1413558750378,313.3804186255669,324.46174206758417,319.51469330930735,321.3329049963869,326.5511722916547,319.77657560152534,310.262433248623,338.85758958281616,346.9441016706304,341.2197471987561,329.5207419487513,335.8599771285209,349.0545115598924,334.08228283751123,316.8501146296919,319.7385151008287
"Livestock",234.49890529156858,236.8963724285243,240.7018142334556,245.1168812334529,252.1440148973861,258.25348879153313,256.1098656438952,254.4914826643741,256.3360530691819,257.0620078417872,255.7631763398898,256.1396024704777,257.67724965722743,258.19229224743253,252.2798235007359,257.5777736226139,261.360178489114,269.5583899073921,266.6609614163201,264.3710082269054,264.4344593269948,262.59278295119464,262.3384303395958,258.6885698479123,256.0640850727825,263.7246654529621,272.2332865837223,277.2366309933015,280.4395039798261,280.3798279020308,280.4143940264547,278.3605463230155
"Fuel combustion",44.8011649220741,44.235249050035,44.268841596821396,44.3382579039196,44.6723780793586,44.5571880173133,44.249847691160795,44.614128561696994,43.684856155382406,41.5688637449238,41.161297967990095,42.58119247811079,43.6017511594664,45.2711101717227,50.4612312217766,52.4898659254031,56.473019202600305,53.6651825013863,49.4842851559864,48.0112627925927,48.1638240222829,48.3666719911312,49.638384959565904,47.3316404290149,47.5068894828081,42.50980385642129,41.4968465450236,41.1452555521817,41.126611637355104,40.977022650922294,39.922327244979,37.66229524363259
"Gross total",592.8503240132684,584.9811703211373,588.0174600863666,606.0706193560704,610.8299044951511,616.7710326225296,621.7907778173665,611.3824359264471,618.6819178255882,613.2937678238844,606.1582119226955,615.7021810961063,620.8420088324679,621.9786083739298,629.8355737110539,630.2089954230548,631.2136163172812,647.6853144763626,635.6599398816139,633.715176015885,639.1494556409324,630.7360305438511,622.2392485477847,644.8777998597434,650.515076226221,647.4542165081396,643.2508750774972,654.241863674004,670.6206271770736,655.4391333904643,637.1868359011256,635.7613566674768
